                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.6098,                   1.25,                 1.2878,                 1.7096,                 1.5298,                 1.2526,                0.66133,                0.61196,                0.67348,                0.31087,                 1.8627,                   1.37,                 1.4526,                 1.8869,                 1.5576,                 1.4577,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.5878,                  1.228,                 1.2848,                 1.6935,                 1.4905,                 1.2537,                0.70537,                0.60828,                0.67698,                0.31645,                 1.8643,                 1.4339,                  1.433,                 1.8861,                 1.6087,                 1.4228,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.6019,                 1.2344,                 1.2775,                 1.7021,                 1.5007,                 1.2467,                0.69334,                0.57528,                0.63628,                0.29114,                 1.9467,                 1.5466,                 1.5095,                 1.9482,                 1.7847,                 1.4913,             0.00059432,             0.00059432,             0.00059432
                     62,                  1.611,                  1.211,                 1.2901,                 1.7078,                 1.4748,                 1.2597,                0.64068,                0.58232,                0.63337,                 0.2837,                 1.8684,                 1.6739,                 1.4442,                 1.9103,                 1.8561,                 1.4769,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.5716,                 1.1977,                 1.2704,                 1.6777,                 1.4684,                 1.2456,                0.72138,                0.60859,                0.68422,                0.33349,                 1.8207,                 1.3765,                 1.4138,                 1.8407,                 1.5408,                 1.4217,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.5814,                 1.1901,                 1.2728,                 1.6891,                  1.448,                 1.2426,                0.60311,                0.63664,                0.64695,                0.30554,                 1.8267,                 1.4763,                 1.4306,                 1.8194,                 1.7114,                 1.4157,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.5686,                 1.1874,                 1.2757,                 1.6763,                 1.4516,                 1.2409,                0.66587,                0.59817,                0.63899,                0.30397,                 1.9305,                 1.4132,                 1.5285,                 1.8728,                 1.6225,                 1.4631,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.5627,                 1.1747,                 1.2685,                 1.6589,                 1.4195,                 1.2407,                0.69434,                0.59401,                0.65208,                0.31238,                 1.8863,                  1.536,                 1.4521,                 1.9055,                 1.7066,                 1.4699,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.5548,                 1.1641,                 1.2682,                 1.6618,                 1.4189,                 1.2445,                0.66576,                0.62537,                0.66685,                0.31252,                 1.7938,                 1.4175,                 1.4257,                 1.7797,                  1.579,                 1.4171,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.5564,                 1.1554,                 1.2667,                 1.6587,                 1.4016,                 1.2418,                0.68822,                0.59924,                0.69237,                0.32405,                 1.8757,                 1.3892,                 1.4639,                 1.8576,                 1.5444,                  1.404,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.5583,                 1.1574,                 1.2683,                 1.6727,                 1.4041,                 1.2445,                0.64773,                0.63413,                0.65709,                0.29692,                 1.9074,                 1.5163,                 1.4704,                 1.9107,                 1.7089,                 1.4356,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.5821,                 1.1662,                 1.2706,                 1.6846,                 1.4065,                 1.2428,                0.64389,                0.64339,                0.67533,                0.31627,                  1.826,                 1.4062,                 1.4391,                 1.8232,                 1.6049,                 1.4152,               0.000467,               0.000467,               0.000467
                     71,                 1.5375,                 1.1402,                 1.2491,                 1.6453,                 1.3807,                 1.2267,                0.71422,                0.64192,                 0.6886,                0.31683,                 1.8935,                 1.3648,                 1.4539,                 1.9129,                 1.4795,                 1.4276,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.5575,                 1.1355,                 1.2519,                 1.6581,                 1.3859,                 1.2302,                0.67135,                0.54944,                0.63803,                0.32004,                  1.832,                 1.3872,                 1.4187,                 1.8145,                 1.5616,                 1.3841,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.5366,                 1.1292,                 1.2433,                 1.6499,                 1.3745,                  1.219,                0.61433,                0.65103,                0.64897,                0.29763,                 1.9257,                  1.446,                 1.4719,                 1.9763,                 1.6149,                 1.4482,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.5315,                  1.127,                 1.2545,                 1.6383,                   1.37,                 1.2327,                0.63827,                0.65357,                 0.6629,                0.31124,                 1.9201,                 1.3726,                  1.475,                 1.9636,                 1.4901,                 1.4465,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.5536,                 1.1334,                 1.2565,                 1.6557,                 1.3662,                 1.2364,                 0.5925,                0.63754,                0.64644,                0.31427,                 1.9193,                 1.4937,                 1.4571,                  1.945,                 1.6699,                 1.4497,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.5277,                 1.1025,                 1.2406,                 1.6347,                 1.3472,                 1.2189,                0.67795,                 0.6466,                0.67682,                0.31348,                 1.8364,                 1.3212,                 1.4129,                 1.8734,                 1.4992,                 1.4054,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.5159,                 1.0929,                 1.2373,                 1.6243,                 1.3362,                 1.2195,                0.76743,                0.59074,                 0.6713,                0.31691,                 1.8953,                   1.47,                  1.461,                 1.9334,                 1.6676,                 1.4673,             0.00036797,             0.00036797,             0.00036797
